CASE,Y_proclSpeed_r,Y_proclDui_r,Y_proclRob_r,Y_proclKill_r,Y_proclProstitute_r,Y_proclRape_r,Y_proclZoo_r,Y_proclPublic_r,Y_proclPornChild_r,Y_proclPornChildDarknet_r,Y_proclChatChild_r,Y_proclGiftChild_r,Y_proclSexChild_r,Y_proclPornYp_r,Y_proclChatYp_r,Y_proclGiftYp_r,Y_proclSexYp_r
2257,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2258,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2262,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2264,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2272,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2286,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2295,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2296,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2302,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2303,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2304,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2305,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2315,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2319,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2322,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2324,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2330,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2335,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2358,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2368,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
2369,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2380,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2384,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2389,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2402,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
